,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,0.07000000000000033,3.418711330512398,12.675205620306013,4.584862385321101
1,2,0.0700000000000021,4.458667930108625,14.447181873137449,5.115089514066496
2,3,0.07000000000000024,5.470717133518514,15.191120870839988,5.634696755994359
3,4,0.07000000000000209,6.523240362929954,16.349876365376026,5.99251497005988
4,5,0.07000000000000038,7.4002293717966525,15.177451297224604,6.262910798122066
5,6,0.0700000000000172,8.267842517817813,16.457463055944736,6.448387096774193
6,7,0.08750000000002976,8.950444821010175,16.504318036287106,6.525285481239805
7,8,0.07000000000000207,9.655575676996767,17.412597202857494,6.6318407960199
8,9,0.07000000000000038,10.177934149682772,17.48100318613683,6.690635451505017
9,10,0.14000000000000754,10.758774560389151,17.290237883333518,6.799319727891157
10,11,0.17500000000000035,11.496217393835526,18.143371278442203,6.7894736842105265
11,12,0.15828690605852508,12.166994084839832,19.76812368614251,6.802721088435374
12,13,1.1163900454987392,12.693753069756157,18.978364040832894,6.896551724137931
13,14,0.10000000000002339,13.27487988012948,19.36474435990288,6.894827586206897
14,15,0.07777777778515017,13.413948384880786,20.691541639578162,6.819420783645656
15,16,0.11666666666937436,13.898935440262019,19.527106153855765,6.877796901893287
16,17,0.1000000000037887,14.161439170905934,20.059297842165794,6.864493996569468
17,18,1.8301986656293465,14.780387869536193,21.116549573938908,6.935875216637782
18,19,6.177914151445702,15.134947053240458,21.511059224930975,6.966898954703833
19,20,5.609400397510515,15.641804233294254,20.67296556472351,6.963414634146342
20,21,1.0000000000000298,15.926386328732802,20.912442360438376,6.92560553633218
21,22,2.685967115694798,16.25781459173771,21.559647621676802,6.965156794425087
22,23,0.08750000000001211,16.491490922720708,21.540309228002634,6.946273830155979
23,24,5.977973422196651,16.87484263088301,21.26323062047444,6.984265734265734
24,25,6.737414222096473,17.043160808630084,21.601573292942756,6.970331588132635
25,26,9.477766614566129,17.31209311084923,22.083435129877383,6.989528795811518
26,27,2.1829786628564998,17.444559013780776,21.934934469658828,6.982547993019197
27,28,1.8862482901600748,17.611751426303535,22.072021411995173,6.97212543554007
28,29,12.099247698727092,17.895745658691773,23.189611468778182,7.0
29,30,6.267613614720387,17.991575844260716,22.39608114446874,6.982547993019197
30,31,10.109740649731894,18.10751883469405,23.037880436349933,6.984265734265734
31,32,2.3022282450823655,18.118678286039632,22.60011793167356,6.987783595113438
32,33,13.209701387777413,18.44957365287505,22.318337503833064,7.0
33,34,8.28350336513287,18.483339878824413,22.402288960106176,6.984265734265734
34,35,14.005996004277163,18.66406586831947,22.838375838018553,7.0
35,36,13.487442522286067,18.865257192492464,22.78243694495484,6.998251748251748
36,37,2.2094894997337944,18.70801120109913,22.529362159093978,6.970383275261324
37,38,12.136321206799774,18.994853240583495,22.400943236206665,7.0
38,39,12.671702734520398,19.19471599747335,22.77345530353195,7.0
39,40,7.654524907663874,19.423972765090834,22.875448712089348,6.991258741258742
40,41,2.1222895219410254,19.63412440798934,23.100186545123723,6.984293193717278
41,42,10.70598998672408,19.610109349059016,22.846398427879457,6.992994746059544
42,43,14.658534462407463,19.865804681085436,23.33043618691385,7.0
43,44,13.534861241790532,19.810681807000616,23.38103669711227,7.0
44,45,11.487853798550358,19.891732477442204,23.131016516401335,6.998251748251748
45,46,11.328278851297682,20.114846217890157,23.076310466113817,7.0
46,47,6.6503292908119365,20.170762781658652,22.965939107287888,6.993019197207679
47,48,12.286533376181612,20.379551618550686,22.715742436536043,7.0
48,49,13.131026635426572,20.49816770291434,23.76989573550473,7.0
49,50,13.302907789852954,20.53916330383826,23.64928794417716,7.0
